No_action,No_new_comparative_trial,Prediction_Current_same_rule,Prediction_Voltage_Drop_same_rule,Confidence_Current_verify_prediction,Confidence_Voltage_Drop_verify_prediction,Rule_Current_Confirming_Redundancy,Rule_Voltage_Drop_Confirming_Redundancy,Post_test_Current_non_normative,Post_test_Voltage_Drop_non_normative,New_comparative_trial,Prediction_Current_Fill_up_gaps,Prediction_Voltage_Drop_Fill_up_gaps,Confidence_Current_falsify_prediction,Confidence_Voltage_Drop_falsify_prediction,Identify_problem_goal_stated,Rule_Current_Simultaneous_scanning,Rule_Voltage_Drop_Simultaneous_scanning,Rule_Current_Successive_scanning,Rule_Voltage_Drop_Successive_scanning,Rule_Current_Focus_gambling,Rule_Voltage_Drop_Focus_gambling,Rule_Current_Conservative_Focusing,Rule_Voltage_Drop_Conservative_Focusing,Post_test_Current_partial,Post_test_Voltage_Drop_partial,Post_test_Current_1_Valid_link,Post_test_Voltage_Drop_1_Valid_link,Post_test_Current_2_Valid_links,Post_test_Voltage_Drop_2_Valid_links
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
4,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,2,0,0,0,0,0,1,3,2,1,3,1,0,1,0,0,1,1,2,1,0,0,0,0,1,1
0,0,0,1,2,2,0,0,0,0,1,4,3,2,2,1,2,2,1,1,0,0,1,1,0,0,0,0,1,1
1,0,1,2,2,2,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
0,0,1,2,2,3,0,0,0,0,1,3,2,2,1,1,2,1,1,1,1,1,0,1,0,0,0,0,1,1
1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
0,0,1,3,1,3,0,0,0,0,1,2,0,2,0,1,0,2,1,1,0,0,2,0,0,1,0,0,1,0
1,0,1,2,1,2,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0
0,0,3,3,3,3,0,0,0,0,1,1,1,1,1,1,2,2,2,1,0,0,0,1,0,0,0,1,1,0
1,0,2,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0
0,0,2,3,4,4,0,0,0,0,1,2,1,0,0,1,2,2,1,2,0,0,1,0,0,0,0,1,1,0
0,0,0,1,0,1,0,0,0,0,1,2,1,2,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0
1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1
0,0,1,2,1,2,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,2,0,0,1,0,0,1,0
1,0,2,1,2,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1
1,0,4,4,4,5,2,1,0,0,1,1,1,1,0,0,1,2,1,1,1,0,0,0,0,1,1,0,0,0
1,0,1,1,1,0,0,0,0,0,1,1,1,1,2,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0
0,0,1,1,1,2,0,0,0,0,1,2,2,2,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1
1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0
0,0,0,0,1,1,0,0,0,0,1,2,2,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
1,0,2,1,2,1,0,0,1,0,1,0,1,0,1,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0
0,0,1,0,2,1,0,0,0,0,1,1,2,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1
1,0,1,1,1,2,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0
1,0,2,1,2,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,3,1,3,1,0,0,0,0,1,0,2,0,2,1,3,0,0,1,0,1,0,1,0,0,0,0,1,1
1,0,5,5,5,5,0,0,0,0,1,0,0,0,0,0,4,1,1,3,0,0,0,0,1,0,0,0,0,1
1,0,4,2,4,3,1,0,0,0,1,0,2,0,1,0,2,1,1,2,0,0,0,0,0,1,1,0,0,0
1,0,4,4,4,4,2,1,0,0,1,1,1,1,1,0,2,1,1,2,0,0,0,0,0,1,1,0,0,0
1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
1,0,2,2,2,2,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0
1,0,1,0,1,1,0,0,0,0,1,1,2,1,1,0,1,0,1,2,0,0,0,0,1,1,0,0,0,0
1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0
0,0,3,1,3,2,0,0,1,0,1,0,2,0,1,1,3,0,0,2,0,0,0,1,0,0,0,0,0,1
0,0,1,4,3,3,1,0,0,0,1,2,1,1,1,1,2,1,1,1,0,0,0,1,1,0,0,0,0,1
1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1
1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0
1,0,2,2,2,3,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1
1,0,0,1,1,1,0,0,0,0,1,2,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0
1,0,4,2,3,2,1,0,0,0,1,0,2,1,2,0,2,1,1,2,0,0,0,0,0,1,1,0,0,0
1,0,3,2,3,2,1,0,0,0,1,1,2,1,2,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0
