,1 bulbs equal,2 bulbs equal,1 vs. 2 bulbs different,Battery voltage equal,Battery voltage differnt,Resistance change: 1 or 2 bulbs,Resistance change: 2 bulbs,Resistance equal: 2 bulbs different vlaue,Resistance equal: 2 or 1 vs. 2 bulbs same vlaue,Resistance equal: 1 bulb,Resistance equal: 2 bulbs different value & position,Ammeter equal: after/before 1 or 2 bulb,Ammeter different: before vs. after 1 or 2 bulbs,Ammeter different: on high/low of 2 bulb,Voltmeter equal: 1 bulb or 2 bulbs or battery,Voltmeter equal: 2 bulbs,Voltmeter different: high vs. low resistance 2 bulbs,Voltmeter different: high vs. low resistance 2 bulbs vs. battery,No action
Observation19,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Observation20,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Observation21,0,3,0,3,0,0,0,3,0,0,0,1,0,2,1,0,2,1,0
Observation22,1,3,0,4,0,0,0,3,0,1,0,2,1,1,2,0,2,1,0
Observation23,1,0,1,2,0,1,0,0,0,1,0,2,0,0,2,0,0,0,0
Observation24,2,2,0,3,1,0,1,0,1,2,0,2,1,1,3,0,1,0,0
Observation25,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Observation26,2,1,0,3,0,1,0,1,0,1,0,0,2,1,3,0,0,0,0
Observation27,1,0,1,2,0,1,0,0,0,1,0,1,1,0,2,0,0,0,0
Observation28,0,1,3,4,0,2,0,2,0,0,0,2,1,1,4,0,0,0,0
Observation29,0,2,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0
Observation30,0,1,1,2,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0
Observation31,0,3,1,4,0,1,0,2,1,0,0,2,1,1,3,0,1,0,0
Observation32,1,1,0,2,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0
Observation33,1,0,1,2,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0
Observation34,1,1,0,2,0,0,0,1,0,1,0,0,1,1,2,0,0,0,0
Observation35,1,1,0,2,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0
Observation36,2,2,1,5,0,1,3,0,0,1,0,2,3,0,5,0,0,0,0
Observation37,1,1,0,2,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0
Observation38,1,2,0,3,0,1,1,1,0,0,0,1,1,1,3,1,0,0,0
Observation39,1,1,0,2,0,0,0,0,1,1,0,1,1,0,2,0,0,0,0
Observation40,0,2,0,2,0,0,0,2,0,0,0,0,1,1,0,0,2,1,0
Observation41,0,1,1,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0
Observation42,0,2,0,2,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0
Observation43,1,1,0,1,1,0,0,1,0,1,0,1,1,0,2,0,0,0,0
Observation44,1,1,0,1,1,1,0,0,1,0,0,2,0,0,2,0,0,0,0
Observation45,1,2,0,2,1,0,1,1,0,1,0,2,1,0,2,0,1,0,0
Observation46,3,2,0,4,1,0,0,1,1,3,1,4,1,0,4,1,1,0,0
Observation47,4,0,0,3,1,3,0,0,0,1,0,1,3,0,4,0,0,0,0
Observation48,3,0,2,3,2,0,0,0,1,3,0,4,1,0,5,0,1,0,0
Observation49,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Observation50,0,0,3,1,2,0,0,0,3,0,0,1,2,0,3,0,0,0,0
Observation51,2,0,0,1,1,0,0,0,0,2,0,1,1,0,2,0,0,0,0
Observation52,2,0,0,1,1,0,0,0,0,2,0,1,1,0,2,0,0,0,0
Observation53,0,2,1,3,0,1,0,2,0,0,0,3,0,0,2,0,1,0,0
Observation54,2,2,0,2,2,0,0,1,1,2,0,3,1,0,4,2,0,0,0
Observation55,1,1,0,2,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0
Observation56,2,0,0,1,1,0,0,0,0,2,0,1,1,0,2,0,0,0,0
Observation57,0,2,1,3,0,1,0,1,1,0,0,2,1,0,2,0,1,0,0
Observation58,1,0,1,2,0,1,0,0,0,1,0,1,1,0,2,0,0,0,0
Observation59,1,2,1,3,1,2,0,0,1,1,0,2,2,0,4,0,0,0,0
Observation60,3,0,1,4,0,0,1,0,0,3,0,2,2,0,2,0,2,2,0
